UF,Municipio,CNPJs,Patentes
RS,Caxias Do Sul,388,968
PR,Curitiba,381,3635
SC,Joinville,286,999
RS,Porto Alegre,179,2046
PR,São José Dos Pinhais,157,463
SC,Itajaí,142,243
SC,Blumenau,132,321
PR,Maringá,107,40
PR,Araucária,105,3163
RS,Novo Hamburgo,105,121
PR,Londrina,101,123
PR,Pinhais,100,283
RS,São Leopoldo,97,69
RS,Cachoeirinha,96,27
PR,Colombo,90,32
SC,Araquari,87,91
RS,Canoas,76,1724
SC,Jaraguá Do Sul,70,539
PR,Cascavel,66,7
RS,Bento Gonçalves,65,83
SC,Chapecó,65,32
PR,Ponta Grossa,60,122
SC,Criciúma,59,60
RS,Gravataí,53,272
SC,Florianópolis,48,26
SC,São José,45,57
RS,Sapucaia Do Sul,44,41
PR,Cambé,41,78
SC,São Bento Do Sul,40,105
PR,Almirante Tamandaré,39,10
RS,Farroupilha,37,270
PR,Paranaguá,37,76
SC,Pomerode,36,15
RS,Erechim,35,38
PR,Pato Branco,35,18
RS,Rio Grande,35,8
PR,Toledo,35,7
RS,Passo Fundo,34,266
PR,Arapongas,34,11
RS,Garibaldi,33,49
RS,Campo Bom,33,36
SC,Içara,32,9
RS,Flores Da Cunha,31,63
SC,Brusque,31,26
SC,Palhoça,31,24
PR,Campo Largo,31,15
SC,Guaramirim,30,234
SC,São Francisco Do Sul,30,52
SC,Timbó,30,43
RS,Santa Cruz Do Sul,30,36
SC,Tubarão,28,161
SC,Indaial,27,15
PR,Campina Grande Do Sul,27,9
SC,Caçador,27,2
RS,Guaíba,26,20
SC,Gaspar,26,19
PR,Quatro Barras,26,13
RS,Estância Velha,25,13
PR,Mandaguari,24,45
SC,Rio Do Sul,24,7
PR,Guarapuava,24,3
SC,Urussanga,23,48
RS,Portão,22,6
RS,Lajeado,22,4
SC,Lages,21,80
SC,Maravilha,21,5
SC,Nova Veneza,20,10
PR,Apucarana,20,4
SC,Biguaçu,19,39
PR,Ibiporã,19,29
RS,Santa Maria,19,10
PR,Fazenda Rio Grande,19,5
PR,Paranavaí,19,5
SC,Tijucas,18,64
RS,Esteio,18,42
RS,Veranópolis,18,16
SC,Garuva,18,9
SC,Xanxerê,18,8
RS,Marau,18,6
RS,Alvorada,18,3
RS,Sapiranga,18,3
RS,São Marcos,18,3
RS,Nova Prata,17,39
PR,Rolândia,17,11
RS,Ijuí,17,10
SC,Orleans,17,7
RS,Estrela,16,70
SC,Rio Negrinho,16,18
PR,Cianorte,16,4
RS,Carlos Barbosa,15,70
SC,São Ludgero,15,36
SC,Navegantes,15,13
RS,Panambi,14,187
PR,Marialva,14,17
RS,Santa Rosa,14,10
SC,Concórdia,14,7
SC,Massaranduba,14,2
RS,Nova Bassano,14,0
RS,Eldorado Do Sul,13,50
RS,Pelotas,13,43
RS,Viamão,13,39
SC,Corupá,13,29
SC,Braço Do Norte,13,16
RS,Montenegro,13,9
SC,Joaçaba,13,7
PR,Francisco Beltrão,13,4
RS,Venâncio Aires,13,2
PR,Cornélio Procópio,13,1
SC,Forquilhinha,13,1
PR,Umuarama,13,0
SC,Videira,12,12
RS,Taquara,12,7
SC,Balneário Camboriú,12,0
SC,Schroeder,11,52
RS,Santo Antônio Da Patrulha,11,20
SC,Siderópolis,11,8
SC,Morro Da Fumaça,11,3
PR,Rio Negro,11,2
RS,Feliz,11,1
PR,Rio Branco Do Sul,11,0
RS,Igrejinha,10,17
PR,Campo Mourão,10,8
RS,Tapejara,10,6
SC,Luzerna,10,6
PR,Telêmaco Borba,10,4
PR,Medianeira,10,2
RS,Paraí,10,2
PR,União Da Vitória,10,1
SC,Mafra,10,0
RS,Vera Cruz,9,30
SC,Braço Do Trombudo,9,21
RS,Guaporé,9,16
RS,Triunfo,9,6
SC,Pinhalzinho,9,5
SC,Barra Velha,9,4
SC,Cocal Do Sul,9,3
SC,Camboriú,9,2
PR,Castro,9,1
RS,Carazinho,9,0
SC,Porto Belo,9,0
RS,Cruz Alta,8,47
RS,São Sebastião Do Caí,8,40
RS,Nova Santa Rita,8,11
PR,Campo Magro,8,8
PR,Marechal Cândido Rondon,8,3
RS,Glorinha,8,2
PR,Mandirituba,8,0
RS,Cachoeira Do Sul,8,0
RS,Serafina Corrêa,8,0
SC,Aurora,8,0
SC,Imbituba,8,0
SC,Lontras,8,0
SC,São João Batista,8,0
SC,São Lourenço Do Oeste,8,0
SC,Capinzal,7,8
PR,Santa Tereza Do Oeste,7,2
SC,Xaxim,7,2
PR,Palmeira,7,1
PR,Balsa Nova,7,0
PR,Piraquara,7,0
RS,Bom Princípio,7,0
RS,Santo Ângelo,7,0
SC,Guabiruba,7,0
SC,Porto União,7,0
RS,Barão,6,13
PR,Ortigueira,6,10
RS,Vacaria,6,8
PR,Paiçandu,6,5
SC,Penha,6,5
PR,Jacarezinho,6,4
PR,Assaí,6,0
RS,Osório,6,0
RS,Santiago,6,0
SC,Araranguá,6,0
SC,Itapema,6,0
SC,Ituporanga,6,0
SC,Rio Das Antas,6,0
RS,Charqueadas,5,26
PR,Contenda,5,14
SC,Rodeio,5,14
RS,Condor,5,6
RS,Gramado,5,6
RS,Vila Flores,5,6
SC,Riqueza,5,5
PR,Palmas,5,4
SC,Campos Novos,5,4
PR,Bandeirantes,5,1
PR,Piraí Do Sul,5,1
RS,Imigrante,5,1
RS,Vale Real,5,1
PR,Foz Do Iguaçu,5,0
PR,Nova Esperança,5,0
PR,Sabáudia,5,0
PR,Santa Terezinha De Itaipu,5,0
RS,Encantado,5,0
RS,Ivoti,5,0
RS,Riozinho,5,0
RS,Roca Sales,5,0
RS,Três Coroas,5,0
SC,Campo Alegre,5,0
SC,Gravatal,5,0
SC,Pinheiro Preto,5,0
SC,São Miguel Do Oeste,5,0
SC,São Cristóvão Do Sul,4,11
SC,Agronômica,4,10
PR,Ampére,4,8
PR,Jandaia Do Sul,4,6
PR,Dois Vizinhos,4,3
SC,Coronel Freitas,4,3
SC,Três Barras,4,2
PR,São Mateus Do Sul,4,1
RS,Harmonia,4,1
RS,Rosário Do Sul,4,1
SC,Capivari De Baixo,4,1
PR,Irati,4,0
PR,Itaperuçu,4,0
PR,Lapa,4,0
PR,Loanda,4,0
PR,Palotina,4,0
PR,Quatro Pontes,4,0
PR,Sertanópolis,4,0
RS,Caçapava Do Sul,4,0
RS,Frederico Westphalen,4,0
RS,Ibirubá,4,0
RS,Nonoai,4,0
RS,Paulo Bento,4,0
RS,Sant'ana Do Livramento,4,0
RS,São Francisco De Paula,4,0
RS,São Luiz Gonzaga,4,0
RS,São Vendelino,4,0
SC,Balneário Rincão,4,0
SC,Curitibanos,4,0
SC,Otacílio Costa,4,0
RS,Não-Me-Toque,3,149
RS,Dois Lajeados,3,8
RS,Araricá,3,7
RS,Vila Maria,3,5
PR,Nova Santa Rosa,3,4
PR,Cambira,3,1
PR,Jaguapitã,3,1
RS,Bagé,3,1
RS,Itaqui,3,1
SC,Balneário Barra Do Sul,3,1
PR,Alto Paraná,3,0
PR,Califórnia,3,0
PR,General Carneiro,3,0
PR,Imbaú,3,0
PR,Jaguariaíva,3,0
PR,Marmeleiro,3,0
PR,Matelândia,3,0
PR,Santa Helena,3,0
PR,Santo Antônio Da Platina,3,0
PR,Sarandi,3,0
PR,Sengés,3,0
PR,Tijucas Do Sul,3,0
PR,Vitorino,3,0
PR,Ângulo,3,0
RS,Arroio Do Meio,3,0
RS,Canela,3,0
RS,Dois Irmãos,3,0
RS,Horizontina,3,0
RS,Nova Hartz,3,0
SC,Catanduvas,3,0
SC,Fraiburgo,3,0
SC,Luiz Alves,3,0
SC,Maracajá,3,0
SC,Nova Itaberaba,3,0
SC,Nova Trento,3,0
SC,Palmeira,3,0
SC,São Joaquim,3,0
SC,Turvo,3,0
SC,Correia Pinto,2,46
RS,Casca,2,10
PR,Araruna,2,3
SC,São Carlos,2,3
RS,Teutônia,2,2
SC,Iomerê,2,2
PR,Antonina,2,1
PR,São Jorge D'oeste,2,1
PR,São Pedro Do Ivaí,2,1
RS,Antônio Prado,2,1
RS,Bom Retiro Do Sul,2,1
RS,Camargo,2,1
RS,Candelária,2,1
RS,Morro Reuter,2,1
RS,Salvador Do Sul,2,1
PR,Chopinzinho,2,0
PR,Céu Azul,2,0
PR,Laranjeiras Do Sul,2,0
PR,Mandaguaçu,2,0
PR,Pinhão,2,0
PR,Pitanga,2,0
PR,Piên,2,0
PR,Pranchita,2,0
PR,Primeiro De Maio,2,0
PR,Querência Do Norte,2,0
PR,Realeza,2,0
PR,Renascença,2,0
PR,São Carlos Do Ivaí,2,0
PR,São Tomé,2,0
PR,Terra Boa,2,0
RS,Arroio Dos Ratos,2,0
RS,Barra Do Ribeiro,2,0
RS,Bossoroca,2,0
RS,Camaquã,2,0
RS,Cerro Largo,2,0
RS,Colinas,2,0
RS,Cruzeiro Do Sul,2,0
RS,Fazenda Vilanova,2,0
RS,Giruá,2,0
RS,Lagoa Vermelha,2,0
RS,Nova Araçá,2,0
RS,Pantano Grande,2,0
RS,Parobé,2,0
RS,Pinto Bandeira,2,0
RS,São Borja,2,0
RS,São José Do Sul,2,0
RS,São Nicolau,2,0
RS,São Valentim Do Sul,2,0
RS,Tramandaí,2,0
RS,Três Arroios,2,0
RS,Três Cachoeiras,2,0
RS,Três Palmeiras,2,0
RS,Tupanciretã,2,0
RS,Uruguaiana,2,0
SC,Apiúna,2,0
SC,Arvoredo,2,0
SC,Balneário Arroio Do Silva,2,0
SC,Balneário Piçarras,2,0
SC,Canelinha,2,0
SC,Cunha Porã,2,0
SC,Ilhota,2,0
SC,Iraceminha,2,0
SC,Meleiro,2,0
SC,Modelo,2,0
SC,Ouro,2,0
SC,Pedras Grandes,2,0
SC,Rio Do Campo,2,0
SC,Rio Dos Cedros,2,0
SC,Santa Cecília,2,0
SC,Santo Amaro Da Imperatriz,2,0
SC,Sombrio,2,0
SC,Treze De Maio,2,0
SC,Trombudo Central,2,0
SC,Itaiópolis,1,138
PR,Ouro Verde Do Oeste,1,22
RS,Nova Roma Do Sul,1,5
SC,Arabutã,1,3
SC,Guatambú,1,3
PR,Carambeí,1,2
SC,Tigrinhos,1,2
PR,Foz Do Jordão,1,1
PR,Mallet,1,1
PR,Nova Santa Bárbara,1,1
RS,Morro Redondo,1,1
RS,Rolante,1,1
RS,Selbach,1,1
RS,Vespasiano Corrêa,1,1
SC,Garopaba,1,1
SC,Herval D'oeste,1,1
SC,Saudades,1,1
PR,Adrianópolis,1,0
PR,Arapoti,1,0
PR,Assis Chateaubriand,1,0
PR,Astorga,1,0
PR,Bituruna,1,0
PR,Boa Vista Da Aparecida,1,0
PR,Bocaiúva Do Sul,1,0
PR,Bom Sucesso,1,0
PR,Borrazópolis,1,0
PR,Cafelândia,1,0
PR,Cambará,1,0
PR,Campina Da Lagoa,1,0
PR,Cantagalo,1,0
PR,Capanema,1,0
PR,Carlópolis,1,0
PR,Centenário Do Sul,1,0
PR,Cerro Azul,1,0
PR,Colorado,1,0
PR,Corbélia,1,0
PR,Coronel Vivida,1,0
PR,Douradina,1,0
PR,Engenheiro Beltrão,1,0
PR,Flor Da Serra Do Sul,1,0
PR,Floresta,1,0
PR,Guapirama,1,0
PR,Guaraniaçu,1,0
PR,Guaraqueçaba,1,0
PR,Honório Serpa,1,0
PR,Ibema,1,0
PR,Iguaraçu,1,0
PR,Imbituva,1,0
PR,Itaguajé,1,0
PR,Itapejara D'oeste,1,0
PR,Ivatuba,1,0
PR,Jardim Alegre,1,0
PR,Jesuítas,1,0
PR,Jundiaí Do Sul,1,0
PR,Jussara,1,0
PR,Mangueirinha,1,0
PR,Marilândia Do Sul,1,0
PR,Matinhos,1,0
PR,Missal,1,0
PR,Morretes,1,0
PR,Nova Aurora,1,0
PR,Nova Esperança Do Sudoeste,1,0
PR,Nova Fátima,1,0
PR,Nova Londrina,1,0
PR,Nova Prata Do Iguaçu,1,0
PR,Pato Bragado,1,0
PR,Perobal,1,0
PR,Planalto,1,0
PR,Porecatu,1,0
PR,Porto Amazonas,1,0
PR,Quitandinha,1,0
PR,Rebouças,1,0
PR,Roncador,1,0
PR,Salgado Filho,1,0
PR,Santa Isabel Do Ivaí,1,0
PR,Santa Maria Do Oeste,1,0
PR,Santo Antônio Do Sudoeste,1,0
PR,Siqueira Campos,1,0
PR,São Miguel Do Iguaçu,1,0
PR,São Pedro Do Paraná,1,0
PR,Tapejara,1,0
PR,Teixeira Soares,1,0
PR,Tibagi,1,0
PR,Ubiratã,1,0
PR,Uniflor,1,0
RS,Alto Feliz,1,0
RS,Ametista Do Sul,1,0
RS,Arroio Grande,1,0
RS,Barão De Cotegipe,1,0
RS,Boa Vista Do Buricá,1,0
RS,Brochier,1,0
RS,Caibaté,1,0
RS,Cambará Do Sul,1,0
RS,Campinas Do Sul,1,0
RS,Candiota,1,0
RS,Capela De Santana,1,0
RS,Capão Da Canoa,1,0
RS,Capão Do Leão,1,0
RS,Caseiros,1,0
RS,Catuípe,1,0
RS,Chiapetta,1,0
RS,Chuí,1,0
RS,Cotiporã,1,0
RS,David Canabarro,1,0
RS,Dom Pedrito,1,0
RS,Dom Pedro De Alcântara,1,0
RS,Estação,1,0
RS,Fagundes Varela,1,0
RS,Gaurama,1,0
RS,Gramado Xavier,1,0
RS,Independência,1,0
RS,Jaguari,1,0
RS,Jóia,1,0
RS,Júlio De Castilhos,1,0
RS,Lindolfo Collor,1,0
RS,Maquiné,1,0
RS,Mato Leitão,1,0
RS,Montauri,1,0
RS,Mostardas,1,0
RS,Muçum,1,0
RS,Nova Petrópolis,1,0
RS,Novo Barreiro,1,0
RS,Palmares Do Sul,1,0
RS,Pareci Novo,1,0
RS,Picada Café,1,0
RS,Ponte Preta,1,0
RS,Restinga Sêca,1,0
RS,Rio Pardo,1,0
RS,Rodeio Bonito,1,0
RS,Santa Bárbara Do Sul,1,0
RS,Santa Clara Do Sul,1,0
RS,Santa Vitória Do Palmar,1,0
RS,Sarandi,1,0
RS,Sinimbu,1,0
RS,Soledade,1,0
RS,São Francisco De Assis,1,0
RS,São Gabriel,1,0
RS,São José Do Hortêncio,1,0
RS,São José Do Inhacorá,1,0
RS,São Martinho,1,0
RS,São Sepé,1,0
RS,Taquari,1,0
RS,Terra De Areia,1,0
RS,Tio Hugo,1,0
RS,Três De Maio,1,0
RS,Tucunduva,1,0
RS,Victor Graeff,1,0
RS,Vila Lângaro,1,0
SC,Abelardo Luz,1,0
SC,Agrolândia,1,0
SC,Antônio Carlos,1,0
SC,Arroio Trinta,1,0
SC,Ascurra,1,0
SC,Caibi,1,0
SC,Canoinhas,1,0
SC,Cordilheira Alta,1,0
SC,Doutor Pedrinho,1,0
SC,Faxinal Dos Guedes,1,0
SC,Flor Do Sertão,1,0
SC,Guaraciaba,1,0
SC,Guarujá Do Sul,1,0
SC,Ibiam,1,0
SC,Ibirama,1,0
SC,Iporã Do Oeste,1,0
SC,Itapoá,1,0
SC,Itá,1,0
SC,Jaborá,1,0
SC,Jaguaruna,1,0
SC,Lacerdópolis,1,0
SC,Laguna,1,0
SC,Laurentino,1,0
SC,Lauro Müller,1,0
SC,Palmitos,1,0
SC,Papanduva,1,0
SC,Passos Maia,1,0
SC,Pescaria Brava,1,0
SC,Petrolândia,1,0
SC,Piratuba,1,0
SC,Ponte Alta Do Norte,1,0
SC,Pouso Redondo,1,0
SC,Salete,1,0
SC,Salto Veloso,1,0
SC,Sangão,1,0
SC,Santa Helena,1,0
SC,Seara,1,0
SC,São Domingos,1,0
SC,São José Do Cerrito,1,0
SC,São João Do Itaperiú,1,0
SC,São João Do Oeste,1,0
SC,Taió,1,0
SC,Treviso,1,0
SC,Treze Tílias,1,0
SC,Tunápolis,1,0
SC,Água Doce,1,0
SC,Águas Mornas,1,0
