gt,subsistema,componente,cnpjs_unicos,destaques_faturamento,destaques_patentes,component_id
GT 2 – Máquinas Elétricas,1. Sistema Estator,1.1 Núcleo do Estator,69,USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR) | USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR),USINAS SIDERURGICAS MINAS GERAIS... | USINAS SIDERURGICAS MINAS GERAIS...,gt-2-maquinas-eletricas-1-sistema-estator-1-1-nucleo-do-estator
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.1 Núcleo do Rotor,69,USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR) | USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR),USINAS SIDERURGICAS MINAS GERAIS... | USINAS SIDERURGICAS MINAS GERAIS...,gt-2-maquinas-eletricas-2-sistema-rotor-2-1-nucleo-do-rotor
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.1 Aço Elétrico (Silício),69,USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR) | USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR),USINAS SIDERURGICAS MINAS GERAIS... | USINAS SIDERURGICAS MINAS GERAIS...,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-1-aco-eletrico-silicio
GT 2 – Máquinas Elétricas,1. Sistema Estator,1.2 Enrolamentos,0,-,-,gt-2-maquinas-eletricas-1-sistema-estator-1-2-enrolamentos
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.2 Ímãs Permanentes,0,-,-,gt-2-maquinas-eletricas-2-sistema-rotor-2-2-imas-permanentes
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.3 Enrolamentos (Rotor Bobinado),0,-,-,gt-2-maquinas-eletricas-2-sistema-rotor-2-3-enrolamentos-rotor-bobinado
GT 2 – Máquinas Elétricas,3. Sistema Térmico,3.4 Trocadores de Calor,0,-,-,gt-2-maquinas-eletricas-3-sistema-termico-3-4-trocadores-de-calor
GT 2 – Máquinas Elétricas,4. Controle e Sensoriamento,4.3 Eletrônica de Interface (Placas PCBAs),0,-,-,gt-2-maquinas-eletricas-4-controle-e-sensoriamento-4-3-eletronica-de-int
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.2 Rolamentos,0,-,-,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-2-rolamentos
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.4 Acoplamentos,0,-,-,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-4-acoplamentos
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.4 Usinagem de Precisão,0,-,-,gt-2-maquinas-eletricas-6-processos-produtivos-6-4-usinagem-de-precisao
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.5 Montagem e Balanceamento,0,-,-,gt-2-maquinas-eletricas-6-processos-produtivos-6-5-montagem-e-balanceame
GT 2 – Máquinas Elétricas,7. Ensaios e Validação,7.3 Ensaios Térmicos,0,-,-,gt-2-maquinas-eletricas-7-ensaios-e-validacao-7-3-ensaios-termicos
GT 2 – Máquinas Elétricas,7. Ensaios e Validação,7.4 Ensaios NVH (Ruído/Vibração),0,-,-,gt-2-maquinas-eletricas-7-ensaios-e-validacao-7-4-ensaios-nvh-ruido-vibr
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.3 Ímãs de Terras Raras (NdFeB),0,-,-,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-3-imas-de-terras-raras-n
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.4 Resinas e Vernizes Isolantes,0,-,-,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-4-resinas-e-vernizes-iso
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,5.5 Isoladores Galvânicos,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-3-inversores-conversores-de-potencia-5-protecao-e-seguranca-5-5-isola
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,8.5 Fitas e Isolantes,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-3-inversores-conversores-de-potencia-8-materiais-e-consumiveis-8-5-fi
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,8.6 Parafusos / Fixadores,690,DOCOL (1B OU SUPERIOR) | COMPANHIA SIDERURGICA NACIONAL (1B OU SUPERIOR),BRASILATA S A EMBALAGENS METALICAS | NILKO TECNOLOGIA,gt-3-inversores-conversores-de-potencia-8-materiais-e-consumiveis-8-6-pa
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,4.5 Ventoinhas,622,TK ELEVADORES BRASIL (1B OU SUPERIOR) | ELEVADORES ATLAS SCHINDLER (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | SPRINGER CARRIER,gt-3-inversores-conversores-de-potencia-4-gestao-termica-4-5-ventoinhas
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,8.3 Gases Técnicos,453,PETROLEO BRASILEIRO S A PETROBRAS (1B OU SUPERIOR) | ICL AMERICA SUL (1B OU SUPERIOR),PETROLEO BRASILEIRO S A PETROBRAS | ICL AMERICA SUL,gt-3-inversores-conversores-de-potencia-8-materiais-e-consumiveis-8-3-ga
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,4.3 Interface Térmica (TIM/Paste),377,IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR) | IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR),BUNGE ALIMENTOS S/A | ARTECOLA QUIMICA S. A,gt-3-inversores-conversores-de-potencia-4-gestao-termica-4-3-interface-t
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,4.1 Dissipadores Alumínio,310,GE ENERGIAS RENOVAVEIS (1B OU SUPERIOR) | CERACA - COOPERATIVA INFRA-ESTRUT... (1B OU SUPERIOR),AGUIA SISTEMAS ARMAZENAGEM | AGUIA SISTEMAS ARMAZENAGEM,gt-3-inversores-conversores-de-potencia-4-gestao-termica-4-1-dissipadore
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,4.2 Cold Plates,310,GE ENERGIAS RENOVAVEIS (1B OU SUPERIOR) | CERACA - COOPERATIVA INFRA-ESTRUT... (1B OU SUPERIOR),AGUIA SISTEMAS ARMAZENAGEM | AGUIA SISTEMAS ARMAZENAGEM,gt-3-inversores-conversores-de-potencia-4-gestao-termica-4-2-cold-plates
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,5.1 Fusíveis HV,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-5-protecao-e-seguranca-5-1-fusiv
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,5.2 Disjuntores,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-5-protecao-e-seguranca-5-2-disju
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,5.3 Contatores HV,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-5-protecao-e-seguranca-5-3-conta
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,5.6 Relés Segurança,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-5-protecao-e-seguranca-5-6-reles
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,6.1 Barramentos DC/AC,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-6-interfaces-e-conectividade-6-1
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,6.2 Conectores HV,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-6-interfaces-e-conectividade-6-2
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,6.3 Chicotes Elétricos,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-6-interfaces-e-conectividade-6-3
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,6.4 Malhas EMI / Blindagem,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-6-interfaces-e-conectividade-6-4
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,1.4 Módulos Potência (PIM/IPM),187,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-1-estagio-de-potencia-semicondut-4
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,2.3 Indutores Potência,187,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-2-filtros-e-armazenamento-de-ene-3
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,6.6 Filtros EMC,187,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-6-interfaces-e-conectividade-6-6
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,4.6 Bombas Circulação,181,DOCOL (1B OU SUPERIOR) | SCHULZ S/A (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | DOCOL,gt-3-inversores-conversores-de-potencia-4-gestao-termica-4-6-bombas-circ
GT 3 – Inversores / Conversores de Potência,4. Gestão Térmica,4.4 Sensores Temperatura,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-4-gestao-termica-4-4-sensores-te
GT 3 – Inversores / Conversores de Potência,5. Proteção e Segurança,5.4 Sensores Corrente HV,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-5-protecao-e-seguranca-5-4-senso
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,7.1 Bancos de Potência,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-7-ensaios-e-validacao-7-1-bancos
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,7.2 Câmaras EMC/EMI,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-7-ensaios-e-validacao-7-2-camara
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,7.3 Câmara Climática,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-7-ensaios-e-validacao-7-3-camara
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,7.4 Testes de Isolação,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-7-ensaios-e-validacao-7-4-testes
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,7.5 Simuladores HIL,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-3-inversores-conversores-de-potencia-7-ensaios-e-validacao-7-5-simula
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,1.1 IGBT,126,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | TDK ELECTRONICS BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | GLOBAL TECNOLOGIA,gt-3-inversores-conversores-de-potencia-1-estagio-de-potencia-semicondut
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,1.5 Gate Drivers (Drivers Isolados),126,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | TDK ELECTRONICS BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | GLOBAL TECNOLOGIA,gt-3-inversores-conversores-de-potencia-1-estagio-de-potencia-semicondut-5
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.1 MCU Automotivo,126,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | TDK ELECTRONICS BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | GLOBAL TECNOLOGIA,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.2 DSP Controle Vetorial,126,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | TDK ELECTRONICS BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | GLOBAL TECNOLOGIA,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr-2
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.3 FPGA Potência,126,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | TDK ELECTRONICS BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | GLOBAL TECNOLOGIA,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr-3
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.5 Isoladores Digitais,126,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | TDK ELECTRONICS BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | GLOBAL TECNOLOGIA,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr-5
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,1.6 Snubber RC,95,BRITANIA ELETRODOMESTICOS (1B OU SUPERIOR) | HI-MIX ELETRONICOS S/A (300M A 500M),SINTEX INDUSTRIAL PLASTICOS | BRITANIA ELETRODOMESTICOS,gt-3-inversores-conversores-de-potencia-1-estagio-de-potencia-semicondut-6
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,2.1 Capacitores Filme,95,BRITANIA ELETRODOMESTICOS (1B OU SUPERIOR) | HI-MIX ELETRONICOS S/A (300M A 500M),SINTEX INDUSTRIAL PLASTICOS | BRITANIA ELETRODOMESTICOS,gt-3-inversores-conversores-de-potencia-2-filtros-e-armazenamento-de-ene
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,2.2 Capacitores Eletrolíticos,95,BRITANIA ELETRODOMESTICOS (1B OU SUPERIOR) | HI-MIX ELETRONICOS S/A (300M A 500M),SINTEX INDUSTRIAL PLASTICOS | BRITANIA ELETRODOMESTICOS,gt-3-inversores-conversores-de-potencia-2-filtros-e-armazenamento-de-ene-2
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,2.4 Choke Modo Comum,95,BRITANIA ELETRODOMESTICOS (1B OU SUPERIOR) | HI-MIX ELETRONICOS S/A (300M A 500M),SINTEX INDUSTRIAL PLASTICOS | BRITANIA ELETRODOMESTICOS,gt-3-inversores-conversores-de-potencia-2-filtros-e-armazenamento-de-ene-4
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,2.5 Capacitores Y/X,95,BRITANIA ELETRODOMESTICOS (1B OU SUPERIOR) | HI-MIX ELETRONICOS S/A (300M A 500M),SINTEX INDUSTRIAL PLASTICOS | BRITANIA ELETRODOMESTICOS,gt-3-inversores-conversores-de-potencia-2-filtros-e-armazenamento-de-ene-5
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,8.4 Lubrificantes,44,PETROLEO BRASILEIRO S A PETROBRAS (1B OU SUPERIOR) | PETROLEO BRASILEIRO S A PETROBRAS (1B OU SUPERIOR),PETROLEO BRASILEIRO S A PETROBRAS | PETROLEO BRASILEIRO S A PETROBRAS,gt-3-inversores-conversores-de-potencia-8-materiais-e-consumiveis-8-4-lu
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.6 Comunicação CAN/Ethernet,40,INTELBRAS . TELECOMUNICACAO ELETR... (1B OU SUPERIOR) | INTELBRAS . TELECOMUNICACAO ELETR... (1B OU SUPERIOR),NILKO TECNOLOGIA | INTELBRAS . TELECOMUNICACAO ELETR...,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr-6
GT 3 – Inversores / Conversores de Potência,6. Interfaces e Conectividade,6.5 Interface Diagnóstico,40,INTELBRAS . TELECOMUNICACAO ELETR... (1B OU SUPERIOR) | INTELBRAS . TELECOMUNICACAO ELETR... (1B OU SUPERIOR),NILKO TECNOLOGIA | INTELBRAS . TELECOMUNICACAO ELETR...,gt-3-inversores-conversores-de-potencia-6-interfaces-e-conectividade-6-5
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.7 Firmware / Software Embarcado,16,ABACO TECNOLOGIA INFORMACAO (300M A 500M) | CENOFISCO EDITORA PUBLICACOES TRI... (100M A 300M),AVETOOLS - SOLUCOES MONITORAMENTO... | ABACO TECNOLOGIA INFORMACAO,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr-7
GT 3 – Inversores / Conversores de Potência,7. Ensaios e Validação,7.6 Validação Firmware,16,ABACO TECNOLOGIA INFORMACAO (300M A 500M) | CENOFISCO EDITORA PUBLICACOES TRI... (100M A 300M),AVETOOLS - SOLUCOES MONITORAMENTO... | ABACO TECNOLOGIA INFORMACAO,gt-3-inversores-conversores-de-potencia-7-ensaios-e-validacao-7-6-valida
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,1.2 SiC MOSFET,0,-,-,gt-3-inversores-conversores-de-potencia-1-estagio-de-potencia-semicondut-2
GT 3 – Inversores / Conversores de Potência,1. Estágio de Potência – Semicondutores,1.3 Diodos Rápidos,0,-,-,gt-3-inversores-conversores-de-potencia-1-estagio-de-potencia-semicondut-3
GT 3 – Inversores / Conversores de Potência,2. Filtros e Armazenamento de Energia,2.6 Varistores (MOV),0,-,-,gt-3-inversores-conversores-de-potencia-2-filtros-e-armazenamento-de-ene-6
GT 3 – Inversores / Conversores de Potência,3. Controle e Processamento Eletrônico,3.4 PCB Multicamadas,0,-,-,gt-3-inversores-conversores-de-potencia-3-controle-e-processamento-eletr-4
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,8.1 Soldas e Pastas,0,-,-,gt-3-inversores-conversores-de-potencia-8-materiais-e-consumiveis-8-1-so
GT 3 – Inversores / Conversores de Potência,8. Materiais e Consumíveis,8.2 Adesivos / Resinas,0,-,-,gt-3-inversores-conversores-de-potencia-8-materiais-e-consumiveis-8-2-ad
